2025-08-10 09:24:28.708 [info] Extension host with pid 501 started
2025-08-10 09:24:28.712 [info] Lock '/workspace/.vscode-remote/data/User/workspaceStorage/1cafd87f/vscode.lock': Lock acquired.
2025-08-10 09:24:29.161 [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onLanguage'
2025-08-10 09:24:29.162 [info] ExtensionService#_doActivateExtension vscode.simple-browser, startup: false, activationEvent: 'onWebviewPanel:simpleBrowser.view'
2025-08-10 09:24:29.163 [info] ExtensionService#_doActivateExtension astro-build.astro-vscode, startup: false, activationEvent: 'onLanguage:astro'
2025-08-10 09:24:30.164 [info] ExtensionService#_doActivateExtension vscode.git-base, startup: true, activationEvent: '*', root cause: vscode.git
2025-08-10 09:24:30.164 [info] ExtensionService#_doActivateExtension gitpod.gitpod-web, startup: true, activationEvent: '*'
2025-08-10 09:24:30.340 [info] ExtensionService#_doActivateExtension vscode.npm, startup: true, activationEvent: 'workspaceContains:package.json'
2025-08-10 09:24:30.659 [info] ExtensionService#_doActivateExtension vscode.git, startup: true, activationEvent: '*'
2025-08-10 09:24:30.660 [info] ExtensionService#_doActivateExtension vscode.github, startup: true, activationEvent: '*'
2025-08-10 09:24:32.046 [info] Eager extensions activated
2025-08-10 09:24:32.047 [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: false, activationEvent: 'onStartupFinished'
2025-08-10 09:24:32.048 [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
2025-08-10 09:24:32.113 [info] ExtensionService#_doActivateExtension bradlc.vscode-tailwindcss, startup: false, activationEvent: 'onStartupFinished'
2025-08-10 09:24:32.114 [info] ExtensionService#_doActivateExtension Codeium.codeium, startup: false, activationEvent: 'onStartupFinished'
2025-08-10 09:24:32.114 [info] ExtensionService#_doActivateExtension esbenp.prettier-vscode, startup: false, activationEvent: 'onStartupFinished'
2025-08-10 09:24:32.114 [info] ExtensionService#_doActivateExtension vscode.github-authentication, startup: false, activationEvent: 'onStartupFinished', root cause: GitHub.vscode-pull-request-github
2025-08-10 09:24:32.114 [info] ExtensionService#_doActivateExtension PKief.material-icon-theme, startup: false, activationEvent: 'onStartupFinished'
2025-08-10 09:24:36.925 [info] ExtensionService#_doActivateExtension redhat.vscode-yaml, startup: false, activationEvent: 'onLanguage:yaml'
2025-08-10 09:24:37.733 [info] ExtensionService#_doActivateExtension GitHub.vscode-pull-request-github, startup: false, activationEvent: 'onStartupFinished'
2025-08-10 09:24:39.619 [info] ExtensionService#_doActivateExtension vscode.configuration-editing, startup: false, activationEvent: 'onLanguage:json'
2025-08-10 09:24:39.619 [info] ExtensionService#_doActivateExtension vscode.extension-editing, startup: false, activationEvent: 'onLanguage:json'
2025-08-10 09:24:39.620 [info] ExtensionService#_doActivateExtension vscode.json-language-features, startup: false, activationEvent: 'onLanguage:json'
2025-08-10 09:24:40.143 [warning] [redhat.vscode-yaml] Accessing a resource scoped configuration without providing a resource is not expected. To get the effective value for '[yaml]', provide the URI of a resource or 'null' for any resource.
2025-08-10 09:24:40.146 [warning] [redhat.vscode-yaml] Accessing a resource scoped configuration without providing a resource is not expected. To get the effective value for '[yaml]', provide the URI of a resource or 'null' for any resource.
2025-08-10 09:24:42.717 [info] ExtensionService#_doActivateExtension vscode.typescript-language-features, startup: false, activationEvent: 'onLanguage:jsonc'
2025-08-10 09:29:46.666 [info] ExtensionService#_doActivateExtension vscode.media-preview, startup: false, activationEvent: 'onCustomEditor:imagePreview.previewEditor'
2025-08-10 09:29:48.194 [error] EntryNotFound (FileSystemError): Error: ENOENT: no such file or directory, stat '/workspace/Website-starter/public/images/doctors-avatars/compressed/czb5kjehcsdf9pyikapn.avif'
	at as._handleError (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:112:21749)
	at us (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:356:10566)
	at cE.runner (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:356:7378)
	at cE.onInterval (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:28:78950)
	at listOnTimeout (node:internal/timers:588:17)
	at process.processTimers (node:internal/timers:523:7) 
2025-08-10 11:19:50.790 [error] ProxyResolver#resolveProxy undefined Canceled: Canceled
	at el (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:7:1556)
	at file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:29:138942
	at Array.forEach (<anonymous>)
	at cS.dispose (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:29:138848)
	at KG.terminate (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:117:12333)
	at Y8.terminate (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:119:1082)
	at us (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:356:10566)
	at cE.runner (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:356:7378)
	at cE.onInterval (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:28:78950)
	at listOnTimeout (node:internal/timers:588:17)
	at process.processTimers (node:internal/timers:523:7) 
2025-08-10 11:19:50.790 [error] ProxyResolver#resolveProxy undefined Canceled: Canceled
	at el (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:7:1556)
	at file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:29:138942
	at Array.forEach (<anonymous>)
	at cS.dispose (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:29:138848)
	at KG.terminate (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:117:12333)
	at Y8.terminate (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:119:1082)
	at us (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:356:10566)
	at cE.runner (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:356:7378)
	at cE.onInterval (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:28:78950)
	at listOnTimeout (node:internal/timers:588:17)
	at process.processTimers (node:internal/timers:523:7) 
2025-08-10 11:19:50.790 [error] ProxyResolver#resolveProxy undefined Canceled: Canceled
	at el (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:7:1556)
	at file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:29:138942
	at Array.forEach (<anonymous>)
	at cS.dispose (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:29:138848)
	at KG.terminate (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:117:12333)
	at Y8.terminate (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:119:1082)
	at us (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:356:10566)
	at cE.runner (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:356:7378)
	at cE.onInterval (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:28:78950)
	at listOnTimeout (node:internal/timers:588:17)
	at process.processTimers (node:internal/timers:523:7) 
2025-08-10 11:19:50.790 [error] ProxyResolver#resolveProxy undefined Canceled: Canceled
	at el (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:7:1556)
	at file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:29:138942
	at Array.forEach (<anonymous>)
	at cS.dispose (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:29:138848)
	at KG.terminate (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:117:12333)
	at Y8.terminate (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:119:1082)
	at us (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:356:10566)
	at cE.runner (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:356:7378)
	at cE.onInterval (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:28:78950)
	at listOnTimeout (node:internal/timers:588:17)
	at process.processTimers (node:internal/timers:523:7) 
2025-08-10 11:19:50.790 [error] ProxyResolver#resolveProxy undefined Canceled: Canceled
	at el (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:7:1556)
	at file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:29:138942
	at Array.forEach (<anonymous>)
	at cS.dispose (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:29:138848)
	at KG.terminate (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:117:12333)
	at Y8.terminate (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:119:1082)
	at us (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:356:10566)
	at cE.runner (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:356:7378)
	at cE.onInterval (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:28:78950)
	at listOnTimeout (node:internal/timers:588:17)
	at process.processTimers (node:internal/timers:523:7) 
2025-08-10 11:19:50.790 [error] ProxyResolver#resolveProxy undefined Canceled: Canceled
	at el (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:7:1556)
	at file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:29:138942
	at Array.forEach (<anonymous>)
	at cS.dispose (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:29:138848)
	at KG.terminate (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:117:12333)
	at Y8.terminate (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:119:1082)
	at us (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:356:10566)
	at cE.runner (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:356:7378)
	at cE.onInterval (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:28:78950)
	at listOnTimeout (node:internal/timers:588:17)
	at process.processTimers (node:internal/timers:523:7) 
2025-08-10 11:19:50.790 [error] ProxyResolver#resolveProxy undefined Canceled: Canceled
	at el (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:7:1556)
	at file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:29:138942
	at Array.forEach (<anonymous>)
	at cS.dispose (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:29:138848)
	at KG.terminate (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:117:12333)
	at Y8.terminate (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:119:1082)
	at us (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:356:10566)
	at cE.runner (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:356:7378)
	at cE.onInterval (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:28:78950)
	at listOnTimeout (node:internal/timers:588:17)
	at process.processTimers (node:internal/timers:523:7) 
2025-08-10 11:19:50.790 [error] ProxyResolver#resolveProxy undefined Canceled: Canceled
	at el (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:7:1556)
	at file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:29:138942
	at Array.forEach (<anonymous>)
	at cS.dispose (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:29:138848)
	at KG.terminate (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:117:12333)
	at Y8.terminate (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:119:1082)
	at us (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:356:10566)
	at cE.runner (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:356:7378)
	at cE.onInterval (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:28:78950)
	at listOnTimeout (node:internal/timers:588:17)
	at process.processTimers (node:internal/timers:523:7) 
2025-08-10 11:19:50.791 [error] ProxyResolver#resolveProxy undefined Canceled: Canceled
	at el (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:7:1556)
	at file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:29:138942
	at Array.forEach (<anonymous>)
	at cS.dispose (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:29:138848)
	at KG.terminate (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:117:12333)
	at Y8.terminate (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:119:1082)
	at us (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:356:10566)
	at cE.runner (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:356:7378)
	at cE.onInterval (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:28:78950)
	at listOnTimeout (node:internal/timers:588:17)
	at process.processTimers (node:internal/timers:523:7) 
2025-08-10 11:19:50.791 [error] ProxyResolver#resolveProxy undefined Canceled: Canceled
	at el (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:7:1556)
	at file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:29:138942
	at Array.forEach (<anonymous>)
	at cS.dispose (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:29:138848)
	at KG.terminate (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:117:12333)
	at Y8.terminate (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:119:1082)
	at us (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:356:10566)
	at cE.runner (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:356:7378)
	at cE.onInterval (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:28:78950)
	at listOnTimeout (node:internal/timers:588:17)
	at process.processTimers (node:internal/timers:523:7) 
2025-08-10 11:19:50.791 [error] ProxyResolver#resolveProxy undefined Canceled: Canceled
	at el (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:7:1556)
	at file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:29:138942
	at Array.forEach (<anonymous>)
	at cS.dispose (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:29:138848)
	at KG.terminate (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:117:12333)
	at Y8.terminate (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:119:1082)
	at us (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:356:10566)
	at cE.runner (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:356:7378)
	at cE.onInterval (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:28:78950)
	at listOnTimeout (node:internal/timers:588:17)
	at process.processTimers (node:internal/timers:523:7) 
2025-08-10 11:19:50.791 [error] ProxyResolver#resolveProxy undefined Canceled: Canceled
	at el (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:7:1556)
	at file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:29:138942
	at Array.forEach (<anonymous>)
	at cS.dispose (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:29:138848)
	at KG.terminate (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:117:12333)
	at Y8.terminate (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:119:1082)
	at us (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:356:10566)
	at cE.runner (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:356:7378)
	at cE.onInterval (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:28:78950)
	at listOnTimeout (node:internal/timers:588:17)
	at process.processTimers (node:internal/timers:523:7) 
2025-08-10 11:19:50.791 [error] ProxyResolver#resolveProxy undefined Canceled: Canceled
	at el (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:7:1556)
	at file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:29:138942
	at Array.forEach (<anonymous>)
	at cS.dispose (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:29:138848)
	at KG.terminate (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:117:12333)
	at Y8.terminate (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:119:1082)
	at us (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:356:10566)
	at cE.runner (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:356:7378)
	at cE.onInterval (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:28:78950)
	at listOnTimeout (node:internal/timers:588:17)
	at process.processTimers (node:internal/timers:523:7) 
2025-08-10 11:19:50.791 [error] ProxyResolver#resolveProxy undefined Canceled: Canceled
	at el (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:7:1556)
	at file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:29:138942
	at Array.forEach (<anonymous>)
	at cS.dispose (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:29:138848)
	at KG.terminate (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:117:12333)
	at Y8.terminate (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:119:1082)
	at us (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:356:10566)
	at cE.runner (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:356:7378)
	at cE.onInterval (file:///ide/out/vs/workbench/api/node/extensionHostProcess.js:28:78950)
	at listOnTimeout (node:internal/timers:588:17)
	at process.processTimers (node:internal/timers:523:7) 
2025-08-10 11:19:50.791 [error] ProxyResolver#resolveProxy undefined Canceled: Canceled
